specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
44 	1.362639e+01 	5.089172e+01 	4.301497e+00 	1.581985e+02 	5.503687e+01 	-7683000000000000 	9.332905e+14 	4.762000e+41 	1.320227e+43 	3.711800e-04 	2.794978e+00 	1.414994e+00 	2.370982e-01 	1.419325e-01 	13321988518002768 	12353802646393104 	3833496675633536 	3.985166e+15 	4670802646393104 	6.266751e+14 
45 	1.363500e+01 	5.089436e+01 	4.311666e+00 	1.502264e+02 	5.509375e+01 	-6048300000000000 	2.086329e+15 	5.664200e+41 	1.293158e+43 	3.892200e-04 	2.801379e+00 	1.415603e+00 	2.381512e-01 	1.421370e-01 	13297484623799288 	12326052294200176 	4970250096400848 	5120915796667298 	6277752294200176 	6.474766e+14 
46 	1.364361e+01 	5.089807e+01 	4.321470e+00 	1.590912e+02 	5.515006e+01 	-9167600000000000 	-3485667227568465 	8.273000e+41 	1.296822e+43 	3.862000e-04 	2.793717e+00 	1.416206e+00 	2.369178e-01 	1.423393e-01 	13272980729595808 	12298301942007248 	2759532267085128 	2.898859e+15 	3130701942007248 	6.580615e+14 
47 	1.365222e+01 	5.090473e+01 	4.329794e+00 	1.799588e+02 	5.520885e+01 	-9660100000000000 	-5511821396199467 	8.450300e+41 	1.337765e+43 	3.604600e-04 	2.775884e+00 	1.416835e+00 	2.340209e-01 	1.425506e-01 	13248476835392328 	12270551589814320 	2421318591541282 	2532671468983715 	2610451589814320 	6.460194e+14 
48 	1.366083e+01 	5.091121e+01 	4.339576e+00 	1.747690e+02 	5.526766e+01 	-9536100000000000 	-4.462727e+15 	6.846000e+41 	1.334872e+43 	3.783300e-04 	2.779931e+00 	1.417464e+00 	2.346900e-01 	1.427620e-01 	13223972941188848 	12242801237621392 	2.481054e+15 	2.601740e+15 	2706701237621392 	6.590930e+14 
49 	1.366944e+01 	5.091637e+01 	4.350590e+00 	1.651693e+02 	5.532724e+01 	-7861700000000000 	3.029068e+14 	7.009900e+41 	1.285434e+43 	3.726000e-04 	2.787750e+00 	1.418101e+00 	2.359795e-01 	1.429761e-01 	13199469046985368 	12215050885428464 	3.659593e+15 	3764024794917167 	4353350885428464 	6.325877e+14 
50 	1.367806e+01 	5.091779e+01 	4.363339e+00 	1.386706e+02 	5.538407e+01 	-4703800000000000 	3.564159e+15 	6.221700e+41 	1.366526e+43 	3.856200e-04 	2.781985e+00 	1.418710e+00 	2.318080e-01 	1.431803e-01 	13174962307131648 	12187297310572408 	5887718085866152 	5971033679707635 	7483497310572408 	6.628299e+14 
51 	1.368667e+01 	5.091592e+01 	4.376383e+00 	1.160381e+02 	5.543852e+01 	-6743800000000000 	-8.835870e+14 	9.155500e+41 	1.279439e+43 	3.639500e-04 	2.803068e+00 	1.419292e+00 	2.365361e-01 	1.433761e-01 	13150458412928168 	12159546958379480 	4444958963628651 	4513981252227762 	5415746958379480 	6.227295e+14 
52 	1.369528e+01 	5.091306e+01 	4.388396e+00 	1.083074e+02 	5.549241e+01 	-6122900000000000 	-1761586694498441 	6.917700e+41 	1.353238e+43 	3.821500e-04 	2.903422e+00 	1.419869e+00 	2.659135e-01 	1.435697e-01 	13125954518724696 	12131796606186552 	4887403731922460 	4932184359844965 	6008896606186552 	6.425131e+14 
53 	1.370389e+01 	5.091155e+01 	4.400271e+00 	1.177821e+02 	5.554754e+01 	-7231400000000000 	-1.990098e+15 	8.423700e+41 	1.341746e+43 	3.500000e-04 	2.781493e+00 	1.420459e+00 	2.302637e-01 	1.437679e-01 	13101450624521216 	12104046253993624 	4130253262901396 	4.132504e+15 	4872646253993624 	6.124269e+14 
