specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
69 	9.741667e+00 	5.086583e+01 	4.471035e+00 	1.136054e+01 	5.452669e+01 	-4583500000000000 	2.987068e+15 	2.073300e+42 	1.019795e+43 	4.339200e-04 	2.143267e+00 	1.409536e+00 	5.285817e-02 	1.400989e-01 	16133086202712178 	14674445440375096 	7946586023845632 	8193895053364937 	10090945440375096 	825292463784080 
70 	9.750278e+00 	5.085816e+01 	4.475177e+00 	1.604712e+01 	5.447220e+01 	-4566000000000000 	1.279957e+15 	2.306100e+42 	5.785130e+42 	4.431800e-04 	2.163475e+00 	1.408953e+00 	5.795469e-02 	1.399031e-01 	16136785813068960 	14681564734968588 	7994360891034924 	8212331970254203 	10115564734968588 	8.338172e+14 
71 	9.758889e+00 	5.085157e+01 	4.477285e+00 	2.330395e+01 	5.441875e+01 	-5404900000000000 	1.838191e+14 	1.980300e+42 	7.833457e+42 	4.621300e-04 	2.194928e+00 	1.408381e+00 	6.589241e-02 	1.397110e-01 	16140485423425742 	14688684029562082 	7419387881798796 	7622644635298256 	9283784029562082 	8.360101e+14 
72 	9.767500e+00 	5.084531e+01 	4.482044e+00 	8.922699e+00 	5.436575e+01 	-5281400000000000 	-9.308261e+14 	2.263400e+42 	9.558073e+42 	4.498600e-04 	2.131672e+00 	1.407814e+00 	4.985237e-02 	1.395205e-01 	16144185033782524 	14695803324155574 	7527372170323273 	7716067867393745 	9414403324155574 	8.255064e+14 
73 	9.776111e+00 	5.083844e+01 	4.483720e+00 	2.565083e+01 	5.431391e+01 	-6442700000000000 	-2148285405477088 	1.492400e+42 	6.869527e+42 	4.554800e-04 	2.204562e+00 	1.407259e+00 	6.826484e-02 	1.393342e-01 	16147884644139306 	14702922618749068 	6756087622227179 	6896517107562713 	8260222618749068 	8.176066e+14 
74 	9.784722e+00 	5.083173e+01 	4.482537e+00 	4.062595e+01 	5.426234e+01 	-6948300000000000 	-1.125328e+15 	1.855200e+42 	7.597037e+42 	4.436500e-04 	2.300146e+00 	1.406707e+00 	9.378930e-02 	1.391489e-01 	16151584254496088 	14710041913342560 	6398330237872709 	6542431270958111 	7761741913342560 	8.006500e+14 
75 	9.793333e+00 	5.082762e+01 	4.479795e+00 	5.700619e+01 	5.421309e+01 	-7078600000000000 	-1656814394508183 	1.691400e+42 	6.725476e+42 	4.664400e-04 	2.418328e+00 	1.406180e+00 	1.257849e-01 	1.389718e-01 	16155283864852870 	14717161207936052 	6354164512105652 	6454851767339323 	7638561207936052 	8.202323e+14 
76 	9.801944e+00 	5.082574e+01 	4.478922e+00 	5.025578e+01 	5.416731e+01 	-5677900000000000 	-1.198052e+15 	1.492600e+42 	6.922220e+42 	4.972500e-04 	2.369196e+00 	1.405690e+00 	1.124475e-01 	1.388073e-01 	16158983475209652 	14724280502529544 	7370915996709137 	7456182926133642 	9046380502529544 	8.610401e+14 
78 	9.823056e+00 	5.081172e+01 	4.471775e+00 	5.148364e+01 	5.404582e+01 	-8274000000000000 	-2464223441779289 	1.947100e+42 	5.471322e+42 	4.421200e-04 	2.377281e+00 	1.404390e+00 	1.145745e-01 	1.383707e-01 	16168053986631366 	14741735217133866 	5563307067741871 	5620983136184753 	6467735217133866 	7.946336e+14 
79 	9.831667e+00 	5.080460e+01 	4.467283e+00 	5.521667e+01 	5.399622e+01 	-8278900000000000 	-2.918128e+15 	2.349200e+42 	6.689739e+42 	4.554000e-04 	2.403948e+00 	1.403860e+00 	1.217766e-01 	1.381924e-01 	16171753596988148 	14748854511727360 	5581286366142844 	5622252962798900 	6469954511727360 	8.050565e+14 
80 	9.840278e+00 	5.079799e+01 	4.462932e+00 	5.594766e+01 	5.394865e+01 	-8352600000000000 	-3502178559097387 	1.699400e+42 	5.341162e+42 	4.381000e-04 	2.408919e+00 	1.403351e+00 	1.230993e-01 	1.380214e-01 	16175453207344930 	14755973806320852 	5539936748232415 	5574411353684277 	6403373806320852 	7.879860e+14 
